EAN,QUANTIDADE
9000005111603,22
9000005111962,1
9000005112846,12
9000005112853,10
9000005112860,37
9000005112884,13
9000005112945,1
9000005112952,4
9000005112969,13
9000005112976,8
9000005112983,4
9000005113201,2
9000005113249,22
9000005113256,5
9000005113263,4
9000005113324,4
9000005113331,17
9000005113348,19
9000005113355,19
9000005113362,2
9000005113478,1
9000005113492,30
9000005113508,15
9000005113515,15
9000005113850,1
9000005113867,10
9000005113874,3
9000005113911,2
9000005114000,1
9000005114093,1
9000005114154,1
9000005115250,1
9000005115311,1
9000005115533,2
9000005115885,6
9000005116608,4
9000005116721,1
9000005117209,9
9000005117469,1
9000005117568,4
9000005117599,4
9000005117643,22
9000005117681,7
9000005117698,4
9000005117964,23
9000005117971,21
9000005117995,8
9000005118015,8
9000005118039,15
9000005118114,1
9000005118152,8
9000005118169,5
9000005118176,2
9000005118183,9
9000005118213,4
9000005118343,1
9000005118701,5
9000005118930,3
9000005119296,12
9000005119319,3
9000005119326,1
9000005119913,12
9000005119920,12
9000005119937,11
9000005120315,16
9000005120322,7
9000005120339,6
9000005120667,4
9000005120674,37
9000005120681,28
9000005120698,27
9000005120704,5
9000005120711,6
9000005120773,17
9000005120803,5
9000005120810,2
9000005120827,2
9000005120834,3
9000005120841,3
9000005120926,6
9000005120933,1
9000005120988,7
9000005121176,35
9000005121183,18
9000005121190,22
9000005121206,23
9000005121213,4
9000005121220,5
9000005121343,1
9000005121350,12
9000005121367,1
9000005121473,1
9000005121497,1
9000005121602,12
9000005121619,9
9000005121626,10
9000005121633,4
9000005121701,40
9000005121718,52
9000005121725,25
9000005121732,4
9000005121787,21
9000005121794,26
9000005121800,33
9000005121817,1
9000005121916,52
9000005121923,70
9000005121930,37
9000005121947,5
9000005122098,21
9000005122104,20
9000005122111,30
9000005122128,9
9000005122135,24
9000005122142,5
9000005122159,14
9000005122166,8
9000005122210,9
9000005122227,19
9000005122234,10
9000005122241,9
9000005122258,6
9000005122265,6
9000005122272,11
9000005122289,8
9000005122340,15
9000005122364,4
9000005122371,1
9000005122388,2
9000005122456,5
9000005122463,14
9000005122470,3
9000005122487,4
9000005122494,5
9000005122500,8
9000005122517,5
9000005122524,5
9000005122555,7
9000005122579,16
9000005122586,19
9000005122593,12
9000005122609,4
9000005122616,17
9000005122623,6
9000005122630,7
9000005122654,7
9000005123071,57
9000005123088,75
9000005123095,41
9000005123101,15
9000005123217,10
9000005123224,42
9000005123231,24
9000005123248,12
9000005123293,48
9000005123309,67
9000005123316,36
9000005123330,2
9000005123361,3
9000005123644,21
9000005123651,13
9000005123668,14
9000005123675,12
9000005123682,1
9000005123712,5
9000005123729,8
9000005123828,7
9000005123835,9
9000005123842,9
9000005123859,7
9000005123880,20
9000005123897,22
9000005123903,18
9000005123910,15
9000005123941,11
9000005123958,4
9000005123965,6
9000005124016,5
9000005124023,1
9000005124030,1
9000005124061,1
9000005124085,27
9000005124108,10
9000005124122,11
9000005124146,3
9000005124160,3
9000005124207,24
9000005124221,11
9000005124245,12
9000005124269,12
9000005124382,13
9000005124399,5
9000005124405,1
9000005124412,5
9000005124443,6
9000005124450,7
9000005124467,1
9000005124566,72
9000005124573,47
9000005124580,25
9000005124597,5
9000005124627,47
9000005124634,64
9000005124641,39
9000005124658,14
9000005124689,29
9000005124696,16
9000005124702,24
9000005124740,22
9000005124757,5
9000005124764,10
9000005124801,40
9000005124818,28
9000005124825,28
9000005124832,33
9000005124849,9
9000005124917,1
9000005124924,36
9000005124931,29
9000005124948,29
9000005124955,33
9000005125044,37
9000005125051,44
9000005125068,19
9000005125075,5
9000005125105,6
9000005125112,1
9000005125167,63
9000005125174,65
9000005125181,54
9000005125198,43
9000005125204,7
9000005125273,90
9000005125297,35
9000005125303,43
9000005125310,22
9000005125327,3
9000005125358,33
9000005125365,43
9000005125372,23
9000005125389,3
9000005125518,8
9000005125556,24
9000005125570,3
9000005125594,7
9000005125600,4
9000005125617,8
9000005125655,27
9000005125679,25
9000005125693,12
9000005125778,11
9000005125792,6
9000005125815,1
9000005126140,47
9000005126157,62
9000005126164,37
9000005126171,11
9000005126225,38
9000005126232,51
9000005126249,23
9000005126256,6
9000005126300,9
9000005126317,20
9000005126324,14
9000005126409,23
9000005126416,17
9000005126423,21
9000005126485,6
9000005126492,43
9000005126508,20
9000005126515,3
9000005126676,43
9000005126683,20
9000005126690,22
9000005126706,3
9000005126737,42
9000005126744,13
9000005126751,16
9000005126843,17
9000005126850,6
9000005126867,7
9000005126874,8
9000005126904,18
9000005126911,8
9000005126928,11
9000005127086,24
9000005127093,22
9000005127109,19
9000005127116,21
9000005127673,23
9000005127680,5
9000005127703,1
9000005127772,22
9000005127789,3
9000005127833,2
9000005128014,28
9000005128038,1
9000005128045,17
9000005128076,11
9000005128090,1
9000005128106,6
9000005128137,4
9000005128212,3
9000005128519,11
9000005128533,2
9000005128564,1
9000005128571,3
9000005128595,8
9000005128601,4
9000005128618,8
9000005128625,2
9000005128632,8
9000005128663,2
9000005128687,29
9000005128694,5
9000005128700,3
9000005128823,20
9000005128984,27
9000005128991,10
9000005129004,1
9000005129172,5
9000005129219,1
9000005129233,1
9000005129257,13
9000005129264,7
9000005129271,14
9000005129288,17
9000005129301,9
9000005129486,8
9000005129516,4
9000005129714,2
9000005129721,5
9000005129738,9
9000005129745,12
9000005129776,9
9000005129783,21
9000005129790,8
9000005129813,11
9000005129820,4
9000005129868,11
9000005129875,38
9000005129882,18
9000005129899,1
9000005129936,1
9000005129943,5
9000005129950,3
9000005129974,3
9000005129981,2
9000005130048,1
9000005130109,20
9000005130116,4
9000005130123,6
9000005130130,8
9000005130314,6
9000005130321,15
9000005130338,8
9000005130345,12
9000005130352,18
9000005130369,35
9000005130376,7
9000005130383,11
9000005130390,5
9000005130406,15
9000005130413,3
9000005130420,19
9000005130437,7
9000005130444,2
9000005130451,32
9000005130468,10
9000005130475,10
9000005130482,17
9000005130796,27
9000005130819,12
9000005130826,21
9000005130888,22
9000005130895,7
9000005130901,4
9000005130918,12
9000005131052,14
9000005131083,4
9000005131090,6
9000005131106,3
9000005131137,6
9000005131144,35
9000005131151,29
9000005131168,28
9000005131175,6
9000005131182,6
9000005131335,6
9000005131342,49
9000005131359,27
9000005131366,25
9000005131373,6
9000005131380,6
9000005131632,1
9000005131663,4
9000005131670,30
9000005131687,13
9000005131694,17
9000005131700,19
9000005131724,22
9000005131748,15
9000005131762,12
9000005131786,16
9000005132295,7
9000005132301,24
9000005132318,29
9000005132325,28
9000005132332,7
9000005132349,7
9000005132455,34
9000005132479,16
9000005132493,11
