EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005104995,537162,233000252,CALÇA PLANA LISA ALFAIATARIA,CARAMELO,38,20,08 04 04
9000005105015,537163,233000252,CALÇA PLANA LISA ALFAIATARIA,CARAMELO,40,18,08 04 04
9000005105039,537164,233000252,CALÇA PLANA LISA ALFAIATARIA,CARAMELO,42,18,08 04 04
9000005104988,537157,233000252,CALÇA PLANA LISA ALFAIATARIA,VERDE,38,26,08 04 04
9000005105008,537158,233000252,CALÇA PLANA LISA ALFAIATARIA,VERDE,40,6,08 04 04
9000005105022,537159,233000252,CALÇA PLANA LISA ALFAIATARIA,VERDE,42,12,08 04 04
9000005117643,538217,231003965,CROPPED PLANO LISO DECOTE DIFERENCIADO,PRETO,P,22,08 04 03
9000005117681,538219,231003965,CROPPED PLANO LISO DECOTE DIFERENCIADO,PRETO,G,7,08 04 03
9000005117698,538224,231003965,CROPPED PLANO LISO DECOTE DIFERENCIADO,VERMELHO CRS8219,G,4,08 04 03
9000005082224,535305,321000296,BLUSA MALHA EL JARDÍN,VERDE,8,34,08 04 03
9000005082248,535306,321000296,BLUSA MALHA EL JARDÍN,VERDE,10,15,08 04 03
9000005082262,535307,321000296,BLUSA MALHA EL JARDÍN,VERDE,12,10,08 04 03
9000005138174,540075,232001904,VESTIDO MIDI PLANO ABOTOAMENTO FRENTE E BARRA ABAULADA,ROSA,P,11,08 04 02
9000005131632,539516,231003988,CROPPED PLANO LISO ABOTOAMENTO COSTAS,LARANJA,P,1,08 03 06
9000005131663,539519,231003988,CROPPED PLANO LISO ABOTOAMENTO COSTAS,LARANJA,GG,4,08 03 06
9000005097846,536528,231003988,CROPPED PLANO LISO ABOTOAMENTO COSTAS,MARINHO,G,2,08 03 06
9000005097853,536529,231003988,CROPPED PLANO LISO ABOTOAMENTO COSTAS,MARINHO,GG,15,08 03 06
9000005089599,535825,233000250,CALÇA PLANA LISA RETA COS TRANSPASSADO,BEGE,38,1,08 03 05
9000005089605,535830,233000250,CALÇA PLANA LISA RETA COS TRANSPASSADO,PRETO,38,15,08 03 05
9000005089629,535831,233000250,CALÇA PLANA LISA RETA COS TRANSPASSADO,PRETO,40,2,08 03 05
9000005103660,537037,333000016,CALÇA PLANA COM BOLSOS CARGO,PINK,8,25,08 03 05
9000005103677,537038,333000016,CALÇA PLANA COM BOLSOS CARGO,PINK,10,10,08 03 05
9000005103684,537039,333000016,CALÇA PLANA COM BOLSOS CARGO,PINK,12,2,08 03 05
9000005048671,532606,215001036,SHORT JEANS COM DETALHE ILHÓS,JEANS,36,4,08 03 04
9000005048688,532607,215001036,SHORT JEANS COM DETALHE ILHÓS,JEANS,38,36,08 03 04
9000005048695,532608,215001036,SHORT JEANS COM DETALHE ILHÓS,JEANS,40,16,08 03 04
9000005048701,532609,215001036,SHORT JEANS COM DETALHE ILHÓS,JEANS,42,19,08 03 04
9000005048718,532610,215001036,SHORT JEANS COM DETALHE ILHÓS,JEANS,44,3,08 03 04
9000005067603,534124,232001894,VESTIDO PLANO MIDI ESTAMPA SAN BASILIO,ESTAMPADO,GG,3,08 03 04
9000005095569,536328,231003986,CAMISA PLANA ESTAMPA LA VICTORIA,ESTAMPADO,P,25,08 03 03
9000005095576,536329,231003986,CAMISA PLANA ESTAMPA LA VICTORIA,ESTAMPADO,M,7,08 03 03
9000005095583,536330,231003986,CAMISA PLANA ESTAMPA LA VICTORIA,ESTAMPADO,G,17,08 03 03
9000005095590,536331,231003986,CAMISA PLANA ESTAMPA LA VICTORIA,ESTAMPADO,GG,16,08 03 03
9000005102212,536920,235001221,SHORT PLANO LISO COM DET BORDADO,ROSÊ,38,21,08 03 02
9000005102229,536921,235001221,SHORT PLANO LISO COM DET BORDADO,ROSÊ,40,3,08 03 02
9000005102236,536922,235001221,SHORT PLANO LISO COM DET BORDADO,ROSÊ,42,1,08 03 02
9000005067337,534109,235001221,SHORT PLANO LISO COM DET BORDADO,VINHO,38,12,08 03 02
9000005067344,534110,235001221,SHORT PLANO LISO COM DET BORDADO,VINHO,40,3,08 03 02
9000005067351,534111,235001221,SHORT PLANO LISO COM DET BORDADO,VINHO,42,8,08 03 02
9000005105718,537233,236000330,QUIMONO PLANO LISO BORDADO,VERDE,G,2,08 03 02
